__time,/SCIT_drone/UAV_motion/angular/acc/x,/SCIT_drone/UAV_motion/angular/acc/y,/SCIT_drone/UAV_motion/angular/acc/z,/SCIT_drone/UAV_motion/angular/jerk/x,/SCIT_drone/UAV_motion/angular/jerk/y,/SCIT_drone/UAV_motion/angular/jerk/z,/SCIT_drone/UAV_motion/angular/q/w,/SCIT_drone/UAV_motion/angular/q/x,/SCIT_drone/UAV_motion/angular/q/y,/SCIT_drone/UAV_motion/angular/q/z,/SCIT_drone/UAV_motion/angular/vel/x,/SCIT_drone/UAV_motion/angular/vel/y,/SCIT_drone/UAV_motion/angular/vel/z,/SCIT_drone/UAV_motion/linear/acc/x,/SCIT_drone/UAV_motion/linear/acc/y,/SCIT_drone/UAV_motion/linear/acc/z,/SCIT_drone/UAV_motion/linear/jerk/x,/SCIT_drone/UAV_motion/linear/jerk/y,/SCIT_drone/UAV_motion/linear/jerk/z,/SCIT_drone/UAV_motion/linear/pos/x,/SCIT_drone/UAV_motion/linear/pos/y,/SCIT_drone/UAV_motion/linear/pos/z,/SCIT_drone/UAV_motion/linear/vel/x,/SCIT_drone/UAV_motion/linear/vel/y,/SCIT_drone/UAV_motion/linear/vel/z,/SCIT_drone/UAV_motion/timestamp,/SCIT_drone/UAV_motion_expect/angular/acc/x,/SCIT_drone/UAV_motion_expect/angular/acc/y,/SCIT_drone/UAV_motion_expect/angular/acc/z,/SCIT_drone/UAV_motion_expect/angular/jerk/x,/SCIT_drone/UAV_motion_expect/angular/jerk/y,/SCIT_drone/UAV_motion_expect/angular/jerk/z,/SCIT_drone/UAV_motion_expect/angular/q/w,/SCIT_drone/UAV_motion_expect/angular/q/x,/SCIT_drone/UAV_motion_expect/angular/q/y,/SCIT_drone/UAV_motion_expect/angular/q/z,/SCIT_drone/UAV_motion_expect/angular/vel/x,/SCIT_drone/UAV_motion_expect/angular/vel/y,/SCIT_drone/UAV_motion_expect/angular/vel/z,/SCIT_drone/UAV_motion_expect/linear/acc/x,/SCIT_drone/UAV_motion_expect/linear/acc/y,/SCIT_drone/UAV_motion_expect/linear/acc/z,/SCIT_drone/UAV_motion_expect/linear/jerk/x,/SCIT_drone/UAV_motion_expect/linear/jerk/y,/SCIT_drone/UAV_motion_expect/linear/jerk/z,/SCIT_drone/UAV_motion_expect/linear/pos/x,/SCIT_drone/UAV_motion_expect/linear/pos/y,/SCIT_drone/UAV_motion_expect/linear/pos/z,/SCIT_drone/UAV_motion_expect/linear/vel/x,/SCIT_drone/UAV_motion_expect/linear/vel/y,/SCIT_drone/UAV_motion_expect/linear/vel/z,/SCIT_drone/UAV_motion_expect/timestamp
1710832808.483946,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.991633356,0.025641894,-0.121203773,0.036269132,0.000000000,0.000000000,0.000000000,2.155922353,1.009255648,-0.037844293,0.000000000,0.000000000,0.000000000,-0.911534131,-0.370609999,2.078739166,0.598309934,-1.488045931,-0.112087049,1710832808477310.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710832808.502434,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.122009421,1.059038321,0.000000000,0.000000000,0.000000000,0.000000000,-0.894758601,-0.446550160,2.000000000,0.687687229,-1.377928212,0.000000000,0.000000000
1710832808.503899,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.991639614,0.028485201,-0.120697401,0.035659254,0.000000000,0.000000000,0.000000000,2.112239599,1.031279564,-0.038485974,0.000000000,0.000000000,0.000000000,-0.901313901,-0.393828809,2.078417540,0.632347405,-1.471723080,-0.112905413,1710832808493310.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710832808.522406,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.088389916,1.123883314,0.000000000,0.000000000,0.000000000,0.000000000,-0.880582726,-0.473892459,2.000000000,0.729794368,-1.356097365,0.000000000,0.000000000
1710832808.523855,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.991654396,0.032767847,-0.119760968,0.034717388,0.000000000,0.000000000,0.000000000,2.102009952,1.092880964,0.007614493,0.000000000,0.000000000,0.000000000,-0.885009587,-0.428203076,2.077743292,0.682882607,-1.445763588,-0.113380976,1710832808517310.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710832808.542420,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.052789456,1.187662240,0.000000000,0.000000000,0.000000000,0.000000000,-0.865571568,-0.500785244,2.000000000,0.771209256,-1.332980182,0.000000000,0.000000000
1710832808.543896,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.991662204,0.035564531,-0.119073682,0.034099363,0.000000000,0.000000000,0.000000000,2.063900232,1.171350479,0.020542182,0.000000000,0.000000000,0.000000000,-0.873502195,-0.450798839,2.077307224,0.716013432,-1.427643180,-0.113350578,1710832808533399.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710832808.562439,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.015241808,1.250314601,0.000000000,0.000000000,0.000000000,0.000000000,-0.849739367,-0.527203005,2.000000000,0.811892608,-1.308598592,0.000000000,0.000000000
1710832808.563905,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.991678119,0.039742202,-0.117883570,0.033143405,0.000000000,0.000000000,0.000000000,2.035364509,1.207113266,-0.011887401,0.000000000,0.000000000,0.000000000,-0.855293214,-0.484174341,2.076670647,0.765364587,-1.399168611,-0.113557570,1710832808557399.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710832808.582545,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.975782588,1.311780968,0.000000000,0.000000000,0.000000000,0.000000000,-0.833101139,-0.553120685,2.000000000,0.851805834,-1.282975722,0.000000000,0.000000000
